Round,Pick,Player,Pos.,NWSL team,College,Nation_x,Age,Born,MP_x,Starts_x,Min_x,90s_x,Gls_x,Ast_x,G+A_x,G-PK,season_x,Nation_y,MP_y,Starts_y,Min_y,90s_y,Gls_y,Ast_y,G+A_y,season_y
Round 1,1,Zakiya Bywaters,F,Chicago Red Stars,UCLA,USA,21.0,1991.0,6.0,5.0,372,4.1,2.0,0.0,2.0,2.0,2013, USA,19,10,"1,086",12.1,2,0,2,2014
Round 1,2,Tiffany McCarty,F,Washington Spirit,Florida State,USA,22.0,1990.0,21.0,12.0,"1,242",13.8,2.0,0.0,2.0,2.0,2013, USA,20,11,"1,148",12.8,4,1,5,2014
Round 1,3,Kristie Mewis,M,FC Kansas City,Boston College,USA,21.0,1991.0,20.0,20.0,"1,784",19.8,1.0,0.0,1.0,1.0,2013, USA,17,15,"1,191",13.2,3,2,5,2014
Round 1,4,Lindsi Cutshall,D,Sky Blue FC,BYU,USA,22.0,1990.0,7.0,1.0,285,3.2,0.0,0.0,0.0,0.0,2013, USA,14,11,943,10.5,3,0,3,2014
Round 1,7,Christine Nairn,M,Seattle Reign FC,Penn State,USA,22.0,1990.0,22.0,22.0,"1,922",21.4,3.0,5.0,8.0,3.0,2013, USA,23,21,"1,838",20.4,6,2,8,2014
Round 1,8,Kat Williamson,D,Portland Thorns FC,Florida,USA,23.0,1989.0,22.0,22.0,"1,944",21.6,0.0,0.0,0.0,0.0,2013, USA,21,20,"1,699",18.9,0,0,0,2014
Round 2,9,Rachel Quon,D,Chicago Red Stars,Stanford,CAN,21.0,1991.0,19.0,16.0,"1,531",17.0,0.0,1.0,1.0,0.0,2013, CAN,19,19,"1,693",18.8,0,0,0,2014
Round 2,11,Erika Tymrak,M,FC Kansas City,Florida,USA,21.0,1991.0,21.0,16.0,"1,453",16.1,6.0,4.0,10.0,6.0,2013, USA,21,18,"1,540",17.1,4,4,8,2014
Round 2,12,Kendall Johnson,D,Sky Blue FC,Portland,USA,21.0,1991.0,22.0,22.0,"2,032",22.6,0.0,2.0,2.0,0.0,2013, USA,15,12,"1,123",12.5,0,0,0,2014
Round 2,13,Mariah Bullock,M,Boston Breakers,Stanford,SAM,21.0,1991.0,20.0,16.0,"1,408",15.6,3.0,1.0,4.0,3.0,2013, SAM,15,6,588,6.5,0,1,1,2014
Round 2,14,Amy Barczuk,M,Western New York Flash,Colorado,USA,22.0,1990.0,7.0,2.0,,0.0,0.0,,,0.0,2013, USA,19,9,886,9.8,0,0,0,2014
Round 3,24,Amber Brooks,M,Portland Thorns FC,North Carolina,,,,,,,,,,,,2013, USA,20,19,"1,598",17.8,1,2,3,2014
Round 4,25,Jen Hoy,F,Chicago Red Stars,Princeton,USA,22.0,1991.0,9.0,4.0,471,5.2,3.0,1.0,4.0,3.0,2013, USA,21,16,"1,354",15.0,4,3,7,2014
Round 4,27,Nia Williams,D,FC Kansas City,Missouri State,USA,22.0,1990.0,4.0,2.0,182,2.0,0.0,0.0,0.0,0.0,2013, USA,5,2,260,2.9,0,0,0,2014
Round 4,29,Maddy Evans,M,Boston Breakers,Penn State,USA,21.0,1991.0,11.0,2.0,370,4.1,0.0,0.0,0.0,0.0,2013, USA,17,8,730,8.1,0,3,3,2014
